Supramolecular cage,Small Probe,Large Probe,Minimum Probe,Maximum Probe,Volume
A1,1.4,3.0,1.21,6.26,1778.0
B1,1.4,3.0,1.32,3.17,395.7
B2,1.4,3.0,0.96,2.84,266.6
B3,1.4,3.0,1.04,3.22,335.1
B4,1.4,3.0,1.38,3.91,473.8
B5,1.4,3.0,0.75,1.95,65.4
B6,1.4,3.0,0.88,2.01,79.1
B7,1.4,3.0,0.84,4.80,777.9
B8,1.4,3.0,0.81,4.91,681.5
B9,1.4,3.0,1.05,3.04,173.3
B10,1.4,3.0,1.17,3.10,350.6
B11,1.4,3.0,NA,2.90,226.8
B12,1.4,3.0,0.87,3.94,456.7
B13,1.4,3.0,NA,5.00,742.3
B14,1.4,3.0,NA,5.07,1031.4
C1,1.4,4.0,NA,3.72,569.2
F1,1.4,4.0,NA,3.52,480.8
F2,1.4,5.3,NA,16.20,22940.5
H1,1.4,3.0,NA,3.22,215.4
N1,1.4,3.0,NA,4.18,543.1
O1,1.4,3.0,NA,2.80,198.6
O2,1.4,3.0,NA,NA,NA
R1,1.4,3.0,NA,2.84,329.0
W1,1.4,3.0,NA,3.87,1008.4
