config_2022-11-10-19-35,txt     14      16,595320
config_2022-11-10-19-36,txt     3       7,208549
config_2022-11-10-19-36,txt     13      13,525745
config_2022-11-10-19-36,txt     13      14,144233
config_2022-11-10-19-37,txt     4       7,854169
config_2022-11-10-19-37,txt     13      12,718945
config_2022-11-10-19-37,txt     13      13,616137
config_2022-11-10-19-37,txt     13      13,818801
config_2022-11-10-19-38,txt     4       7,208535
config_2022-11-10-19-39,txt     7       10,723678
config_2022-11-10-19-39,txt     10      12,78674
config_2022-11-10-19-39,txt     11      13,677306
config_2022-11-10-19-40,txt     11      13,793712
config_2022-11-10-19-40,txt     13      11,554096
config_2022-11-10-19-40,txt     16      15,329270
config_2022-11-10-19-40,txt     10      12,551924
config_2022-11-10-19-40,txt     10      12,49602
config_2022-11-10-19-40,txt     10      10,891471
config_2022-11-10-19-41,txt     10      10,983500
config_2022-11-10-19-41,txt     10      14,151387
config_2022-11-10-19-41,txt     10      16,561941
config_2022-11-10-19-42,txt     10      13,201778
config_2022-11-10-19-42,txt     10      12,882334
config_2022-11-10-19-42,txt     10      12,633548
config_2022-11-10-19-42,txt     4       8,659258
config_2022-11-10-19-42,txt     10      12,510346
config_2022-11-10-19-43,txt     10      12,558581
config_2022-11-10-19-43,txt     4       7,164769
config_2022-11-10-19-43,txt     5       8,171354
config_2022-11-10-19-43,txt     5       10,330129
config_2022-11-10-19-43,txt     40      38,111016
config_2022-11-10-19-43,txt     10      11,183193
config_2022-11-10-19-43,txt     21      21,93312
config_2022-11-10-19-43,txt     16      18,816686
config_2022-11-10-19-44,txt     14      19,737964
config_2022-11-10-19-44,txt     11      13,316377
config_2022-11-10-19-44,txt     32      27,806445
config_2022-11-10-19-44,txt     14      17,664474
config_2022-11-10-19-44,txt     14      24,925919
config_2022-11-10-19-44,txt     14      16,632569
config_2022-11-10-19-45,txt     15      18,49304
config_2022-11-10-19-45,txt     15      17,12460
config_2022-11-10-19-45,txt     13      15,386896
config_2022-11-10-19-45,txt     9       11,364274
config_2022-11-10-19-46,txt     13      14,784059
config_2022-11-10-19-46,txt     16      15,485968
config_2022-11-10-19-46,txt     11      15,229056
config_2022-11-10-19-46,txt     119     447,104428
config_2022-11-10-19-47,txt     119     165,110574
config_2022-11-10-19-47,txt     119     172,567033
config_2022-11-10-19-47,txt     119     175,103999
config_2022-11-10-19-47,txt     119     165,206748
config_2022-11-10-19-48,txt     119     168,497910
config_2022-11-10-19-48,txt     8       11,203395
config_2022-11-10-19-48,txt     8       13,48877
config_2022-11-10-19-48,txt     8       11,657942
config_2022-11-10-19-49,txt     9       11,802233
config_2022-11-10-19-49,txt     8       12,251350
config_2022-11-10-19-49,txt     8       10,644393
config_2022-11-10-19-49,txt     8       9,174825
config_2022-11-10-19-49,txt     9       9,751601
config_2022-11-10-19-49,txt     8       11,440105
config_2022-11-10-19-49,txt     8       12,4397
config_2022-11-10-19-49,txt     8       11,382945
config_2022-11-10-19-49,txt     8       13,830280
config_2022-11-10-19-49,txt     8       13,272512
config_2022-11-10-19-50,txt     8       9,10083
config_2022-11-10-19-50,txt     11      14,830833
config_2022-11-10-19-50,txt     19      18,768677
config_2022-11-10-19-50,txt     8       11,734299
config_2022-11-10-19-50,txt     5       9,74518
config_2022-11-10-19-50,txt     5       11,224974
config_2022-11-10-19-51,txt     6       10,644422
config_2022-11-10-19-51,txt     4       7,575303
config_2022-11-10-19-51,txt     4       9,296992
config_2022-11-10-19-52,txt     3       6,658633
config_2022-11-10-19-52,txt     3       6,484167
config_2022-11-10-19-52,txt     4       6,530869
config_2022-11-10-19-53,txt     4       7,157264
config_2022-11-10-19-53,txt     4       6,911368
config_2022-11-10-19-53,txt     4       6,913894
config_2022-11-10-19-53,txt     4       6,333769
config_2022-11-10-19-53,txt     4       6,616098
config_2022-11-10-19-53,txt     4       7,182977
config_2022-11-10-19-53,txt     6       8,698196
config_2022-11-10-19-53,txt     6       10,733323
config_2022-11-10-19-53,txt     9       10,612612
config_2022-11-10-19-53,txt     9       14,524849
config_2022-11-10-19-53,txt     4       6,829295
config_2022-11-10-19-54,txt     3       6,36198
config_2022-11-10-19-54,txt     4       6,367491
config_2022-11-10-19-54,txt     4       8,556213
config_2022-11-10-19-55,txt     4       7,636150
config_2022-11-10-19-55,txt     4       9,656283
config_2022-11-10-19-55,txt     5       11,256669
config_2022-11-10-19-55,txt     10      14,75737
config_2022-11-10-19-57,txt     14      16,608943
config_2022-11-10-19-58,txt     3       5,870058
config_2022-11-10-19-58,txt     13      18,38890
config_2022-11-10-19-58,txt     4       8,792060
config_2022-11-10-19-59,txt     7       9,124419
config_2022-11-10-19-59,txt     9       12,254486
config_2022-11-10-19-59,txt     13      21,272793
config_2022-11-10-20-00,txt     13      16,527929
config_2022-11-10-20-00,txt     11      17,101889
config_2022-11-10-20-00,txt     119     181,889444
config_2022-11-10-20-01,txt     8       10,224519
config_2022-11-10-20-01,txt     4       7,763093
config_2022-11-10-20-02,txt     3       7,858671
config_2022-11-10-20-02,txt     4       6,840660
config_2022-11-10-20-03,txt     4       12,431130
config_2022-11-10-20-03,txt     10      11,567804
